name	taxonomy_id	taxonomy_lvl	14_order.bracken_num	14_order.bracken_frac	17_order.bracken_num	17_order.bracken_frac	19_order.bracken_num	19_order.bracken_frac	20_order.bracken_num	20_order.bracken_frac	2126_order.bracken_num	2126_order.bracken_frac	22a_order.bracken_num	22a_order.bracken_frac	22b_order.bracken_num	22b_order.bracken_frac	25_order.bracken_num	25_order.bracken_frac	2621_order.bracken_num	2621_order.bracken_frac	27_order.bracken_num	27_order.bracken_frac	Stan_order.bracken_num	Stan_order.bracken_frac
Nostocales	1161	O	2927	0.00012	5349	0.00025	2023	0.00009	4307	0.00013	908	0.00010	1079	0.00013	2767	0.00014	3107	0.00021	2838	0.00019	2561	0.00020	1528	0.00015
Pleurocapsales	52604	O	225	0.00001	458	0.00002	173	0.00001	183	0.00001	70	0.00001	116	0.00001	356	0.00002	164	0.00001	238	0.00002	114	0.00001	116	0.00001
Gloeobacterales	307595	O	196	0.00001	1068	0.00005	275	0.00001	382	0.00001	84	0.00001	77	0.00001	286	0.00001	111	0.00001	339	0.00002	188	0.00001	150	0.00001
Chroococcidiopsidales	1890505	O	65	0.00000	212	0.00001	157	0.00001	177	0.00001	8	0.00000	116	0.00001	201	0.00001	127	0.00001	310	0.00002	105	0.00001	51	0.00001
Gloeoemargaritales	1955042	O	50	0.00000	255	0.00001	43	0.00000	76	0.00000	42	0.00000	11	0.00000	25	0.00000	25	0.00000	26	0.00000	112	0.00001	60	0.00001
Mycoplasmatales	2085	O	2522	0.00010	9979	0.00046	1400	0.00007	3535	0.00010	1109	0.00013	1157	0.00014	2753	0.00013	3071	0.00021	3107	0.00021	2501	0.00019	1780	0.00018
Entomoplasmatales	186328	O	1295	0.00005	6500	0.00030	794	0.00004	1581	0.00005	514	0.00006	471	0.00006	1259	0.00006	1815	0.00012	1732	0.00012	1973	0.00015	837	0.00008
Acholeplasmatales	186329	O	957	0.00004	4780	0.00022	699	0.00003	1646	0.00005	421	0.00005	454	0.00005	1109	0.00005	1035	0.00007	1468	0.00010	1268	0.00010	713	0.00007
Dehalococcoidales	1202465	O	1544	0.00006	4490	0.00021	3577	0.00017	1070	0.00003	444	0.00005	242	0.00003	578	0.00003	1136	0.00008	980	0.00007	913	0.00007	837	0.00008
Anaerolineales	292629	O	535	0.00002	2318	0.00011	636	0.00003	1154	0.00003	303	0.00003	325	0.00004	770	0.00004	619	0.00004	892	0.00006	519	0.00004	283	0.00003
Chloroflexales	32064	O	413	0.00002	1571	0.00007	589	0.00003	861	0.00003	198	0.00002	129	0.00002	394	0.00002	339	0.00002	549	0.00004	389	0.00003	298	0.00003
Caldilineales	475963	O	185	0.00001	914	0.00004	291	0.00001	360	0.00001	106	0.00001	50	0.00001	132	0.00001	149	0.00001	209	0.00001	186	0.00001	103	0.00001
Ktedonobacterales	388448	O	118	0.00000	439	0.00002	176	0.00001	95	0.00000	50	0.00001	31	0.00000	103	0.00001	81	0.00001	113	0.00001	73	0.00001	73	0.00001
Tepidiformales	2682226	O	106	0.00000	631	0.00003	268	0.00001	477	0.00001	121	0.00001	66	0.00001	144	0.00001	63	0.00000	332	0.00002	230	0.00002	116	0.00001
Sphaerobacterales	85001	O	73	0.00000	825	0.00004	241	0.00001	277	0.00001	72	0.00001	68	0.00001	188	0.00001	63	0.00000	280	0.00002	209	0.00002	103	0.00001
