name	taxonomy_id	taxonomy_lvl	14_class.bracken_num	14_class.bracken_frac	17_class.bracken_num	17_class.bracken_frac	19_class.bracken_num	19_class.bracken_frac	20_class.bracken_num	20_class.bracken_frac	2126_class.bracken_num	2126_class.bracken_frac	22a_class.bracken_num	22a_class.bracken_frac	22b_class.bracken_num	22b_class.bracken_frac	25_class.bracken_num	25_class.bracken_frac	2621_class.bracken_num	2621_class.bracken_frac	27_class.bracken_num	27_class.bracken_frac	Stan_class.bracken_num	Stan_class.bracken_frac
Megaviricetes	2732523	C	58	0.00000	168	0.00001	65	0.00000	147	0.00000	25	0.00000	41	0.00000	120	0.00001	49	0.00000	66	0.00000	86	0.00001	35	0.00000
Pokkesviricetes	2732525	C	31	0.00000	61	0.00000	16	0.00000	32	0.00000	10	0.00000	20	0.00000	36	0.00000	33	0.00000	64	0.00000	26	0.00000	10	0.00000
Tectiliviricetes	2732529	C	4	0.00000	38	0.00000	4	0.00000	18	0.00000	11	0.00000	0	0.00000	1	0.00000	2	0.00000	14	0.00000	4	0.00000	7	0.00000
Malgrandaviricetes	2732413	C	39	0.00000	161	0.00001	13	0.00000	11	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	20	0.00000	108	0.00001	6	0.00000
Papovaviricetes	2732421	C	10	0.00000	13	0.00000	2	0.00000	5	0.00000	3	0.00000	9	0.00000	22	0.00000	9	0.00000	7	0.00000	1	0.00000	2	0.00000
Quintoviricetes	2732422	C	77	0.00000	2	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00000	0	0.00000	0	0.00000	4	0.00000
Laserviricetes	2732010	C	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000
Repensiviricetes	2732424	C	0	0.00000	4	0.00000	19	0.00000	2	0.00000	9	0.00000	25	0.00000	10	0.00000	0	0.00000	4	0.00000	0	0.00000	0	0.00000
Arfiviricetes	2732423	C	0	0.00000	1	0.00000	0	0.00000	2	0.00000	1	0.00000	0	0.00000	53	0.00000	1	0.00000	1	0.00000	2	0.00000	0	0.00000
Stelpaviricetes	2732507	C	0	0.00000	10	0.00000	41	0.00000	5	0.00000	0	0.00000	3	0.00000	3	0.00000	0	0.00000	1	0.00000	8	0.00000	0	0.00000
Duplopiviricetes	2732505	C	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000
Chunqiuviricetes	2497572	C	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Resentoviricetes	2732459	C	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	5	0.00000	0	0.00000	1	0.00000
Chrymotiviricetes	2732458	C	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	2	0.00000
Amabiliviricetes	2732498	C	0	0.00000	232	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Maveriviricetes	2732528	C	0	0.00000	0	0.00000	2	0.00000	107	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00000	0	0.00000	0	0.00000	1	0.00000
Milneviricetes	2497573	C	0	0.00000	0	0.00000	1	0.00000	0	0.00000	2	0.00000	2	0.00000	6	0.00000	0	0.00000	6	0.00000	0	0.00000	2	0.00000
Tolucaviricetes	2732463	C	0	0.00000	0	0.00000	4	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00000	0	0.00000	0	0.00000	2	0.00000
Howeltoviricetes	2732499	C	0	0.00000	0	0.00000	0	0.00000	39	0.00000	0	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	7	0.00000
Insthoviricetes	2497577	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000	0	0.00000	0	0.00000	0	0.00000
Faserviricetes	2732411	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	41	0.00000	6	0.00000	0	0.00000
