name	taxonomy_id	taxonomy_lvl	14_genus.bracken_num	14_genus.bracken_frac	17_genus.bracken_num	17_genus.bracken_frac	19_genus.bracken_num	19_genus.bracken_frac	20_genus.bracken_num	20_genus.bracken_frac	2126_genus.bracken_num	2126_genus.bracken_frac	22a_genus.bracken_num	22a_genus.bracken_frac	22b_genus.bracken_num	22b_genus.bracken_frac	25_genus.bracken_num	25_genus.bracken_frac	2621_genus.bracken_num	2621_genus.bracken_frac	27_genus.bracken_num	27_genus.bracken_frac	Stan_genus.bracken_num	Stan_genus.bracken_frac
Caldicellulosiruptor	44000	G	2597	0.00011	3374	0.00016	1360	0.00006	2759	0.00008	962	0.00011	1142	0.00013	2867	0.00014	1832	0.00012	2036	0.00014	1984	0.00015	1113	0.00011
Thermoanaerobacterium	28895	G	2387	0.00010	4367	0.00020	1141	0.00005	2641	0.00008	952	0.00011	984	0.00012	2323	0.00011	2286	0.00015	1839	0.00012	1750	0.00014	1138	0.00011
Thermoanaerobacter	1754	G	1263	0.00005	1826	0.00008	569	0.00003	1617	0.00005	357	0.00004	334	0.00004	864	0.00004	866	0.00006	863	0.00006	861	0.00007	450	0.00004
Moorella	44260	G	544	0.00002	2694	0.00012	709	0.00003	918	0.00003	282	0.00003	226	0.00003	610	0.00003	530	0.00004	742	0.00005	517	0.00004	308	0.00003
Ammonifex	42837	G	104	0.00000	834	0.00004	231	0.00001	218	0.00001	111	0.00001	81	0.00001	261	0.00001	78	0.00001	352	0.00002	95	0.00001	94	0.00001
Thermacetogenium	140458	G	367	0.00001	1131	0.00005	332	0.00002	613	0.00002	163	0.00002	58	0.00001	144	0.00001	390	0.00003	339	0.00002	217	0.00002	173	0.00002
Caldanaerobacter	249529	G	306	0.00001	866	0.00004	156	0.00001	341	0.00001	79	0.00001	59	0.00001	151	0.00001	278	0.00002	208	0.00001	274	0.00002	106	0.00001
Carboxydothermus	129957	G	152	0.00001	442	0.00002	156	0.00001	274	0.00001	55	0.00001	68	0.00001	176	0.00001	108	0.00001	163	0.00001	170	0.00001	77	0.00001
Thermanaeromonas	202949	G	83	0.00000	320	0.00001	74	0.00000	151	0.00000	38	0.00000	35	0.00000	95	0.00000	68	0.00000	138	0.00001	78	0.00001	45	0.00000
Mahella	252965	G	482	0.00002	2048	0.00009	417	0.00002	686	0.00002	209	0.00002	277	0.00003	675	0.00003	469	0.00003	599	0.00004	503	0.00004	289	0.00003
Thermodesulfobium	227388	G	91	0.00000	319	0.00001	65	0.00000	117	0.00000	40	0.00000	32	0.00000	90	0.00000	45	0.00000	82	0.00001	71	0.00001	49	0.00000
Halocella	46466	G	754	0.00003	678	0.00003	175	0.00001	692	0.00002	250	0.00003	128	0.00002	315	0.00002	514	0.00003	385	0.00003	214	0.00002	177	0.00002
Halanaerobium	2330	G	367	0.00001	815	0.00004	277	0.00001	660	0.00002	132	0.00002	121	0.00001	316	0.00002	368	0.00002	429	0.00003	470	0.00004	227	0.00002
Halothermothrix	32636	G	131	0.00001	307	0.00001	147	0.00001	261	0.00001	40	0.00000	94	0.00001	236	0.00001	342	0.00002	293	0.00002	139	0.00001	107	0.00001
Anoxybacter	1769008	G	509	0.00002	693	0.00003	236	0.00001	700	0.00002	166	0.00002	203	0.00002	510	0.00002	560	0.00004	326	0.00002	264	0.00002	212	0.00002
Acetohalobium	28186	G	356	0.00001	398	0.00002	122	0.00001	418	0.00001	99	0.00001	150	0.00002	335	0.00002	258	0.00002	212	0.00001	150	0.00001	119	0.00001
Halobacteroides	42417	G	93	0.00000	369	0.00002	26	0.00000	169	0.00000	28	0.00000	73	0.00001	182	0.00001	155	0.00001	164	0.00001	73	0.00001	60	0.00001
Tepidanaerobacter	499228	G	275	0.00001	926	0.00004	242	0.00001	492	0.00001	243	0.00003	162	0.00002	361	0.00002	413	0.00003	299	0.00002	453	0.00004	210	0.00002
Biomaibacter	2770094	G	252	0.00001	1004	0.00005	265	0.00001	350	0.00001	127	0.00001	169	0.00002	389	0.00002	356	0.00002	266	0.00002	285	0.00002	184	0.00002
Thermosediminibacter	291988	G	148	0.00001	1334	0.00006	185	0.00001	93	0.00000	115	0.00001	52	0.00001	122	0.00001	116	0.00001	187	0.00001	161	0.00001	122	0.00001
Natranaerobius	375928	G	148	0.00001	192	0.00001	56	0.00000	272	0.00001	49	0.00001	44	0.00001	115	0.00001	41	0.00000	94	0.00001	99	0.00001	55	0.00001
Longibaculum	1918538	G	841743	0.03412	249696	0.01152	102003	0.00476	573319	0.01679	65512	0.00747	74161	0.00873	209996	0.01025	177094	0.01192	128404	0.00867	213161	0.01647	124772	0.01229
Erysipelatoclostridium	1505663	G	61867	0.00251	88129	0.00407	38999	0.00182	86264	0.00253	24708	0.00282	11930	0.00141	30391	0.00148	67808	0.00456	30907	0.00209	36365	0.00281	19841	0.00196
Faecalitalea	1573534	G	52538	0.00213	42849	0.00198	67538	0.00315	106931	0.00313	44511	0.00507	39061	0.00460	99292	0.00485	91382	0.00615	64286	0.00434	37144	0.00287	33378	0.00329
Amedibacterium	2749267	G	15381	0.00062	13528	0.00062	9427	0.00044	20288	0.00059	5923	0.00068	6019	0.00071	15494	0.00076	16673	0.00112	14661	0.00099	7567	0.00058	5646	0.00056
Intestinibaculum	2679910	G	2870	0.00012	2633	0.00012	2235	0.00010	3803	0.00011	1370	0.00016	1125	0.00013	2707	0.00013	3325	0.00022	4562	0.00031	2233	0.00017	1267	0.00012
Erysipelothrix	1647	G	2378	0.00010	3394	0.00016	1447	0.00007	2399	0.00007	839	0.00010	859	0.00010	2224	0.00011	2838	0.00019	1869	0.00013	1161	0.00009	854	0.00008
Faecalibaculum	1729679	G	1586	0.00006	4476	0.00021	1929	0.00009	2970	0.00009	728	0.00008	441	0.00005	1180	0.00006	2219	0.00015	3353	0.00023	2315	0.00018	1355	0.00013
Turicibacter	191303	G	859	0.00003	2507	0.00012	1828	0.00009	28901	0.00085	29640	0.00338	834	0.00010	2144	0.00010	1732	0.00012	49899	0.00337	55073	0.00426	4695	0.00046
Streptococcus	1301	G	178935	0.00725	57810	0.00267	60433	0.00282	194950	0.00571	130823	0.01491	51668	0.00609	129137	0.00630	55825	0.00376	96446	0.00651	94843	0.00733	28958	0.00285
Lactococcus	1357	G	15846	0.00064	7051	0.00033	10662	0.00050	6550	0.00019	2089	0.00024	1962	0.00023	4892	0.00024	17540	0.00118	25157	0.00170	8912	0.00069	4582	0.00045
Enterococcus	1350	G	41635	0.00169	64701	0.00299	19417	0.00091	35613	0.00104	8651	0.00099	10406	0.00123	26694	0.00130	25185	0.00170	102827	0.00694	13121	0.00101	12850	0.00127
Vagococcus	2737	G	1313	0.00005	1941	0.00009	607	0.00003	1484	0.00004	515	0.00006	484	0.00006	1216	0.00006	1630	0.00011	972	0.00007	877	0.00007	560	0.00006
Melissococcus	33969	G	472	0.00002	345	0.00002	101	0.00000	315	0.00001	161	0.00002	94	0.00001	262	0.00001	251	0.00002	226	0.00002	173	0.00001	104	0.00001
Tetragenococcus	51668	G	460	0.00002	944	0.00004	323	0.00002	806	0.00002	187	0.00002	209	0.00002	517	0.00003	472	0.00003	604	0.00004	385	0.00003	249	0.00002
Ligilactobacillus	2767887	G	6415	0.00026	6050	0.00028	6579	0.00031	6751	0.00020	4127	0.00047	1849	0.00022	4628	0.00023	5659	0.00038	3512	0.00024	3187	0.00025	2418	0.00024
Lactobacillus	1578	G	4943	0.00020	7932	0.00037	3089	0.00014	7622	0.00022	2195	0.00025	2397	0.00028	5989	0.00029	5061	0.00034	4392	0.00030	3465	0.00027	2221	0.00022
Lacticaseibacillus	2759736	G	1542	0.00006	2362	0.00011	2660	0.00012	4896	0.00014	32992	0.00376	438	0.00005	1009	0.00005	4006	0.00027	2336	0.00016	1779	0.00014	1577	0.00016
Limosilactobacillus	2742598	G	1609	0.00007	2487	0.00011	1155	0.00005	2075	0.00006	10329	0.00118	644	0.00008	1476	0.00007	1529	0.00010	1570	0.00011	868	0.00007	754	0.00007
Companilactobacillus	2767879	G	1244	0.00005	1754	0.00008	641	0.00003	1477	0.00004	571	0.00007	386	0.00005	1031	0.00005	1107	0.00007	951	0.00006	768	0.00006	462	0.00005
Lactiplantibacillus	2767842	G	1644	0.00007	3941	0.00018	1576	0.00007	2410	0.00007	8454	0.00096	715	0.00008	1788	0.00009	1153	0.00008	1801	0.00012	1687	0.00013	1132	0.00011
Pediococcus	1253	G	715	0.00003	1140	0.00005	408	0.00002	866	0.00003	229	0.00003	289	0.00003	810	0.00004	958	0.00006	509	0.00003	493	0.00004	303	0.00003
Lentilactobacillus	2767893	G	682	0.00003	1420	0.00007	392	0.00002	802	0.00002	215	0.00002	227	0.00003	553	0.00003	614	0.00004	629	0.00004	418	0.00003	355	0.00003
Paucilactobacillus	2767890	G	668	0.00003	890	0.00004	270	0.00001	746	0.00002	150	0.00002	258	0.00003	521	0.00003	447	0.00003	467	0.00003	276	0.00002	196	0.00002
Levilactobacillus	2767886	G	607	0.00002	1921	0.00009	515	0.00002	819	0.00002	213	0.00002	220	0.00003	543	0.00003	563	0.00004	583	0.00004	380	0.00003	273	0.00003
Loigolactobacillus	2767889	G	535	0.00002	1066	0.00005	431	0.00002	415	0.00001	258	0.00003	178	0.00002	436	0.00002	468	0.00003	421	0.00003	407	0.00003	237	0.00002
Latilactobacillus	2767885	G	471	0.00002	1302	0.00006	392	0.00002	842	0.00002	277	0.00003	203	0.00002	560	0.00003	1092	0.00007	824	0.00006	304	0.00002	454	0.00004
Amylolactobacillus	2767876	G	462	0.00002	298	0.00001	205	0.00001	263	0.00001	146	0.00002	234	0.00003	486	0.00002	123	0.00001	371	0.00003	167	0.00001	79	0.00001
Liquorilactobacillus	2767888	G	410	0.00002	1095	0.00005	338	0.00002	741	0.00002	145	0.00002	198	0.00002	417	0.00002	631	0.00004	357	0.00002	373	0.00003	211	0.00002
Fructilactobacillus	2767881	G	288	0.00001	620	0.00003	137	0.00001	434	0.00001	104	0.00001	66	0.00001	151	0.00001	329	0.00002	195	0.00001	187	0.00001	113	0.00001
Schleiferilactobacillus	2767891	G	195	0.00001	1122	0.00005	356	0.00002	406	0.00001	157	0.00002	118	0.00001	318	0.00002	174	0.00001	387	0.00003	274	0.00002	118	0.00001
Furfurilactobacillus	2767882	G	151	0.00001	590	0.00003	113	0.00001	164	0.00000	59	0.00001	95	0.00001	247	0.00001	231	0.00002	140	0.00001	192	0.00001	68	0.00001
Secundilactobacillus	2767892	G	127	0.00001	365	0.00002	81	0.00000	113	0.00000	51	0.00001	139	0.00002	369	0.00002	155	0.00001	202	0.00001	74	0.00001	82	0.00001
