name	taxonomy_id	taxonomy_lvl	14_family.bracken_num	14_family.bracken_frac	17_family.bracken_num	17_family.bracken_frac	19_family.bracken_num	19_family.bracken_frac	20_family.bracken_num	20_family.bracken_frac	2126_family.bracken_num	2126_family.bracken_frac	22a_family.bracken_num	22a_family.bracken_frac	22b_family.bracken_num	22b_family.bracken_frac	25_family.bracken_num	25_family.bracken_frac	2621_family.bracken_num	2621_family.bracken_frac	27_family.bracken_num	27_family.bracken_frac	Stan_family.bracken_num	Stan_family.bracken_frac
Labilitrichaceae	1524216	F	56	0.00000	834	0.00004	186	0.00001	139	0.00000	38	0.00000	58	0.00001	142	0.00001	62	0.00000	107	0.00001	145	0.00001	65	0.00001
Kofleriaceae	224464	F	124	0.00001	984	0.00005	155	0.00001	308	0.00001	75	0.00001	53	0.00001	112	0.00001	54	0.00000	165	0.00001	162	0.00001	89	0.00001
Syntrophaceae	213468	F	315	0.00001	1328	0.00006	394	0.00002	591	0.00002	168	0.00002	135	0.00002	311	0.00002	284	0.00002	461	0.00003	329	0.00003	210	0.00002
Syntrophobacteraceae	213465	F	194	0.00001	1186	0.00005	365	0.00002	475	0.00001	89	0.00001	106	0.00001	206	0.00001	185	0.00001	470	0.00003	356	0.00003	204	0.00002
Bradymonadaceae	1779135	F	232	0.00001	1338	0.00006	376	0.00002	434	0.00001	208	0.00002	143	0.00002	334	0.00002	171	0.00001	410	0.00003	219	0.00002	213	0.00002
Desulfurellaceae	117942	F	140	0.00001	380	0.00002	104	0.00000	326	0.00001	62	0.00001	44	0.00001	170	0.00001	104	0.00001	126	0.00001	229	0.00002	81	0.00001
Candidatus Desulfofervidaceae	1902584	F	140	0.00001	168	0.00001	30	0.00000	96	0.00000	44	0.00001	30	0.00000	94	0.00000	56	0.00000	78	0.00001	36	0.00000	27	0.00000
Desulfarculaceae	453228	F	146	0.00001	1543	0.00007	425	0.00002	427	0.00001	131	0.00001	79	0.00001	186	0.00001	110	0.00001	372	0.00003	301	0.00002	143	0.00001
Rhizobiaceae	82115	F	5888	0.00024	32145	0.00148	9603	0.00045	14096	0.00041	3594	0.00041	2808	0.00033	6869	0.00034	5132	0.00035	10984	0.00074	7418	0.00057	5067	0.00050
Bradyrhizobiaceae	41294	F	3858	0.00016	19652	0.00091	6692	0.00031	8743	0.00026	2228	0.00025	1765	0.00021	4108	0.00020	2653	0.00018	6941	0.00047	4542	0.00035	3039	0.00030
Phyllobacteriaceae	69277	F	2883	0.00012	15232	0.00070	4607	0.00021	6540	0.00019	1926	0.00022	1271	0.00015	3096	0.00015	2486	0.00017	5311	0.00036	3840	0.00030	2343	0.00023
Methylobacteriaceae	119045	F	1154	0.00005	8203	0.00038	3026	0.00014	3496	0.00010	950	0.00011	639	0.00008	1480	0.00007	853	0.00006	2672	0.00018	2171	0.00017	1261	0.00012
Hyphomicrobiaceae	45401	F	1039	0.00004	5864	0.00027	1964	0.00009	2307	0.00007	616	0.00007	480	0.00006	1164	0.00006	996	0.00007	2187	0.00015	1616	0.00012	1033	0.00010
Bartonellaceae	772	F	1039	0.00004	1591	0.00007	588	0.00003	1327	0.00004	499	0.00006	507	0.00006	1283	0.00006	830	0.00006	1517	0.00010	912	0.00007	521	0.00005
Brucellaceae	118882	F	1486	0.00006	2933	0.00014	1689	0.00008	1672	0.00005	671	0.00008	424	0.00005	979	0.00005	781	0.00005	1419	0.00010	745	0.00006	568	0.00006
Xanthobacteraceae	335928	F	1426	0.00006	19205	0.00089	4202	0.00020	3231	0.00009	853	0.00010	1535	0.00018	3766	0.00018	3378	0.00023	4236	0.00029	2783	0.00022	2094	0.00021
Aurantimonadaceae	255475	F	651	0.00003	6614	0.00031	1146	0.00005	1880	0.00006	442	0.00005	287	0.00003	725	0.00004	760	0.00005	1384	0.00009	1091	0.00008	676	0.00007
Methylocystaceae	31993	F	408	0.00002	2285	0.00011	822	0.00004	1234	0.00004	351	0.00004	336	0.00004	793	0.00004	408	0.00003	973	0.00007	1357	0.00010	872	0.00009
Chelatococcaceae	2036754	F	820	0.00003	698	0.00003	214	0.00001	349	0.00001	140	0.00002	345	0.00004	851	0.00004	131	0.00001	296	0.00002	186	0.00001	111	0.00001
Beijerinckiaceae	45404	F	244	0.00001	988	0.00005	380	0.00002	1452	0.00004	176	0.00002	228	0.00003	522	0.00003	229	0.00002	506	0.00003	339	0.00003	228	0.00002
Cohaesibacteraceae	655351	F	171	0.00001	1067	0.00005	292	0.00001	462	0.00001	132	0.00002	81	0.00001	208	0.00001	127	0.00001	276	0.00002	213	0.00002	105	0.00001
